match_id,match_date,home_team,away_team,round,match_minute,taker_name,taker_team,incident_type,incident_class,from,result,score_at_time
11450068,2024-03-16,Beşiktaş,Antalyaspor,30,82,Mert Günok,Beşiktaş,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450068,2024-03-16,Beşiktaş,Antalyaspor,30,30,Adam Buksa,Beşiktaş,goal,penalty,penalty,scored,0-2
11450047,2024-04-03,Konyaspor,Trabzonspor,31,62,Edin Višća,Konyaspor,goal,penalty,penalty,scored,0-2
11450018,2024-04-13,Kasımpaşa,Konyaspor,32,84,Uğurcan Yazğılı,Konyaspor,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450018,2024-04-13,Kasımpaşa,Konyaspor,32,94,Guilherme Haubert Sityá,Kasımpaşa,goal,penalty,penalty,scored,0-2
11450031,2024-04-14,Fatih Karagümrük,Fenerbahçe,32,48,Bright Osayi-Samuel,Fenerbahçe,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450031,2024-04-14,Fatih Karagümrük,Fenerbahçe,32,63,Michy Batshuayi,Fatih Karagümrük,goal,penalty,penalty,scored,1-2
11450033,2024-04-20,İstanbulspor,Fatih Karagümrük,33,36,Marcus Rohdén,İstanbulspor,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450033,2024-04-20,İstanbulspor,Fatih Karagümrük,33,81,Marcão,Fatih Karagümrük,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11450033,2024-04-20,İstanbulspor,Fatih Karagümrük,33,89,Sofiane Feghouli,Fatih Karagümrük,goal,penalty,penalty,scored,1-2
11450017,2024-04-21,Başakşehir FK,Çaykur Rizespor,33,92,Berkay Özcan,Çaykur Rizespor,goal,penalty,penalty,scored,2-0
11450044,2024-04-21,Galatasaray,Pendikspor,33,89,Kerem Aktürkoğlu,Pendikspor,goal,penalty,penalty,scored,4-1
11450022,2024-04-22,Sivasspor,Fenerbahçe,33,94,Rey Manaj,Fenerbahçe,goal,penalty,penalty,scored,2-2
11450022,2024-04-22,Sivasspor,Fenerbahçe,33,84,Rey Manaj,Sivasspor,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11540862,2024-05-03,MKE Ankaragücü,Alanyaspor,35,82,Oğuz Aydın,MKE Ankaragücü,goal,penalty,penalty,scored,1-1
11540865,2024-05-04,Samsunspor,Trabzonspor,35,8,Taylan Antalyalı,Trabzonspor,goal,penalty,penalty,scored,1-0
11540860,2024-05-06,Antalyaspor,Pendikspor,35,4,Adam Buksa,Antalyaspor,goal,penalty,penalty,scored,1-0
11540873,2024-05-12,Kasımpaşa,Antalyaspor,36,74,Mortadha Ben Ouanes,Antalyaspor,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11540873,2024-05-12,Kasımpaşa,Antalyaspor,36,82,Haris Hajradinović,Kasımpaşa,goal,penalty,penalty,scored,3-0
11540876,2024-05-12,Pendikspor,Çaykur Rizespor,36,42,Halil Akbunar,Pendikspor,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11540879,2024-05-18,Beşiktaş,Hatayspor,37,84,Vincent Aboubakar,Hatayspor,goal,penalty,penalty,scored,2-2
11540888,2024-05-18,Kayserispor,Konyaspor,37,67,Carlos Mané,Kayserispor,goal,penalty,penalty,scored,2-2
11540879,2024-05-18,Beşiktaş,Hatayspor,37,87,Salih Uçan,Hatayspor,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11540894,2024-05-26,Adana Demirspor,Başakşehir FK,38,38,Abdulsamet Burak,Adana Demirspor,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11540897,2024-05-26,Trabzonspor,MKE Ankaragücü,38,96,Enis Destan,Trabzonspor,goal,penalty,penalty,scored,4-2
11540897,2024-05-26,Trabzonspor,MKE Ankaragücü,38,33,Anastasios Chatzigiovanis,MKE Ankaragücü,goal,penalty,penalty,scored,0-1
11540890,2024-05-26,Fenerbahçe,İstanbulspor,38,-3,Serdar Dursun,İstanbulspor,varDecision,penaltyNotAwarded,,not awarded/missed,0-0
11540890,2024-05-26,Fenerbahçe,İstanbulspor,38,7,Edin Džeko,Fenerbahçe,goal,penalty,penalty,scored,1-0
11540894,2024-05-26,Adana Demirspor,Başakşehir FK,38,36,Tayfun Aydoğan,Başakşehir FK,goal,penalty,penalty,scored,1-2
11540894,2024-05-26,Adana Demirspor,Başakşehir FK,38,75,Krzysztof Piątek,Adana Demirspor,goal,penalty,penalty,scored,1-5
12528189,2024-08-09,Galatasaray,Hatayspor,1,77,Mauro Icardi,Galatasaray,goal,penalty,penalty,scored,1-1
